Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
D2	SOD-323_L1.8-W1.3-LS2.5-BI	13.44mm	19.23mm	13.44mm	19.23mm	13.44mm	20.35mm	T	270	PESD3V3L1BA-N
D3	SOD-323_L1.8-W1.3-LS2.5-BI	57.53mm	39.47mm	57.53mm	39.47mm	57.53mm	38.35mm	T	90	PESD3V3L1BA-N
D4	SOD-323_L1.8-W1.3-LS2.5-BI	61.47mm	39.36mm	61.47mm	39.36mm	61.47mm	38.25mm	T	90	PESD3V3L1BA-N
D5	SOD-323_L1.8-W1.3-LS2.5-BI	65.41mm	39.39mm	65.41mm	39.39mm	65.41mm	38.27mm	T	90	PESD3V3L1BA-N
D6	SOD-323_L1.8-W1.3-LS2.5-BI	10.62mm	19.2mm	10.62mm	19.2mm	10.62mm	18.08mm	T	90	PESD3V3L1BA-N
D7	SOD-323_L1.8-W1.3-LS2.5-BI	67.52mm	8.83mm	67.52mm	8.83mm	67.52mm	9.95mm	T	270	PESD3V3L1BA-N
D8	D0402-BI	87.63mm	48.43mm	87.63mm	48.43mm	87.13mm	48.43mm	T	0	ESD3
D9	SOD-323_L1.8-W1.3-LS2.5-BI	9.09mm	15.36mm	9.09mm	15.36mm	9.09mm	14.24mm	T	90	PESD3V3L1BA-N
D10	SOD-323_L1.8-W1.3-LS2.5-BI	10.62mm	30.85mm	10.62mm	30.85mm	10.62mm	31.97mm	T	270	PESD3V3L1BA-N
D11	SOD-323_L1.8-W1.3-LS2.5-BI	15.74mm	36.42mm	15.74mm	36.42mm	15.74mm	35.3mm	T	90	PESD3V3L1BA-N
D12	SOD-323_L1.8-W1.3-LS2.5-BI	95.49mm	8.83mm	95.49mm	8.83mm	95.49mm	9.95mm	T	270	PESD3V3L1BA-N
D13	SOD-323_L1.8-W1.3-LS2.5-BI	13.44mm	38.44mm	13.44mm	38.44mm	13.44mm	37.32mm	T	90	PESD3V3L1BA-N
D14	SOD-323_L1.8-W1.3-LS2.5-BI	12.29mm	40.45mm	12.29mm	40.45mm	12.29mm	39.33mm	T	90	PESD3V3L1BA-N
D15	SOD-323_L1.8-W1.3-LS2.5-BI	9.98mm	42.53mm	9.98mm	42.53mm	9.98mm	41.42mm	T	90	PESD3V3L1BA-N
D16	SOD-323_L1.8-W1.3-LS2.5-BI	18.56mm	36.35mm	18.56mm	36.35mm	18.56mm	35.24mm	T	90	PESD3V3L1BA-N
D17	SOD-323_L1.8-W1.3-LS2.5-BI	7.68mm	44.52mm	7.68mm	44.52mm	7.68mm	43.4mm	T	90	PESD3V3L1BA-N
D19	SOD-323_L1.8-W1.3-LS2.5-BI	37.76mm	48.45mm	37.76mm	48.45mm	37.76mm	49.57mm	T	270	PESD3V3L1BA-N
D20	SOD-323_L1.8-W1.3-LS2.5-BI	94.14mm	10.88mm	94.14mm	10.88mm	94.14mm	12mm	T	270	PESD3V3L1BA-N
D21	SOD-323_L1.8-W1.3-LS2.5-BI	77.57mm	40.58mm	77.57mm	40.58mm	78.69mm	40.58mm	T	180	PESD3V3L1BA-N
D22	SOD-323_L1.8-W1.3-LS2.5-BI	73.51mm	40.63mm	73.51mm	40.64mm	74.62mm	40.63mm	T	180	PESD3V3L1BA-N
D23	SOD-323_L1.8-W1.3-LS2.5-BI	1.09mm	40.16mm	1.09mm	40.16mm	1.09mm	41.28mm	T	270	PESD3V3L1BA-N
D24	SOD-323_L1.8-W1.3-LS2.5-BI	5.7mm	36.96mm	5.7mm	36.96mm	5.7mm	38.08mm	T	270	PESD3V3L1BA-N
D25	SOD-323_L1.8-W1.3-LS2.5-BI	59.84mm	8.83mm	59.84mm	8.83mm	59.84mm	7.71mm	T	90	PESD3V3L1BA-N
D26	SOD-323_L1.8-W1.3-LS2.5-BI	87.87mm	8.83mm	87.87mm	8.83mm	87.87mm	9.95mm	T	270	PESD3V3L1BA-N
D27	SOD-323_L1.8-W1.3-LS2.5-BI	89.09mm	10.88mm	89.09mm	10.88mm	89.09mm	12mm	T	270	PESD3V3L1BA-N
